,SAT,valid,dimacs_set,iteration,cmp_set,backtracks,uc_nodes,pl_nodes,splits
0,1,1,randsat_1,0,JW,0,37,26,12
1,1,1,randsat_2,0,JW,0,32,24,15
2,1,1,randsat_3,0,JW,1635,1615,29,66
3,1,1,randsat_4,0,JW,2807,2727,45,106
4,1,1,randsat_5,0,JW,25,83,5,8
5,1,1,randsat_6,0,JW,1825,1792,27,76
6,1,1,randsat_7,0,JW,2330,2281,30,92
7,1,1,randsat_8,0,JW,3855,3669,86,174
8,1,1,randsat_9,0,JW,0,47,13,13
9,1,1,randsat_10,0,JW,347,354,37,28
10,1,1,randsat_11,0,JW,864,875,17,44
11,1,1,randsat_12,0,JW,1657,1618,41,69
12,1,1,randsat_13,0,JW,557,583,12,31
13,1,1,randsat_14,0,JW,1327,1318,25,56
14,1,1,randsat_15,0,JW,741,751,24,37
15,1,1,randsat_16,0,JW,2034,2004,18,83
16,1,1,randsat_17,0,JW,36,81,19,10
17,1,1,randsat_18,0,JW,196,238,13,17
18,1,1,randsat_19,0,JW,2188,2148,17,96
19,1,1,randsat_20,0,JW,763,773,19,41
20,1,1,randsat_21,0,JW,796,798,30,42
21,1,1,randsat_22,0,JW,53,94,18,14
22,1,1,randsat_23,0,JW,1387,1341,49,70
23,1,1,randsat_24,0,JW,4227,4033,84,184
24,1,1,randsat_25,0,JW,0,33,31,11
25,1,1,randsat_26,0,JW,4713,4474,103,209
26,1,1,randsat_27,0,JW,1009,999,38,46
27,1,1,randsat_28,0,JW,19,70,9,10
28,1,1,randsat_29,0,JW,50,83,27,12
29,1,1,randsat_30,0,JW,3119,3004,46,144
30,1,1,randsat_31,0,JW,1113,1097,35,53
31,1,1,randsat_32,0,JW,782,756,59,40
32,1,1,randsat_33,0,JW,0,27,35,12
33,1,1,randsat_34,0,JW,1058,1047,37,45
34,1,1,randsat_35,0,JW,60,114,5,13
35,1,1,randsat_36,0,JW,1458,1454,13,60
36,1,1,randsat_37,0,JW,2013,1941,58,87
37,1,1,randsat_38,0,JW,2456,2342,68,117
38,1,1,randsat_39,0,JW,366,399,17,24
39,1,1,randsat_40,0,JW,1432,1421,19,64
40,1,1,randsat_41,0,JW,641,663,17,33
41,1,1,randsat_42,0,JW,1857,1800,41,89
42,1,1,randsat_43,0,JW,674,686,23,38
43,1,1,randsat_44,0,JW,659,667,27,39
44,1,1,randsat_45,0,JW,717,742,15,33
45,1,1,randsat_46,0,JW,1044,1034,33,50
46,1,1,randsat_47,0,JW,0,52,6,13
47,1,1,randsat_48,0,JW,456,478,23,29
48,1,1,randsat_49,0,JW,769,749,52,41
49,1,1,randsat_50,0,JW,23,77,7,6
50,1,1,1000sudokus_1,0,JW,0,729,0,0
51,1,1,1000sudokus_2,0,JW,1258,1930,0,57
52,1,1,1000sudokus_3,0,JW,0,729,0,0
53,1,1,1000sudokus_4,0,JW,0,729,0,0
54,1,1,1000sudokus_5,0,JW,1854,2535,0,48
55,1,1,1000sudokus_6,0,JW,0,729,0,0
56,1,1,1000sudokus_7,0,JW,0,729,0,0
57,1,1,1000sudokus_8,0,JW,0,729,0,0
58,1,1,1000sudokus_9,0,JW,440,1145,0,24
59,1,1,1000sudokus_10,0,JW,48873,48417,0,1185
60,1,1,1000sudokus_11,0,JW,0,729,0,0
61,1,1,1000sudokus_12,0,JW,422,1124,0,27
62,1,1,1000sudokus_13,0,JW,732,1426,0,35
63,1,1,1000sudokus_14,0,JW,0,718,0,11
