,SAT,valid,dimacs_set,iteration,cmp_set,backtracks,uc_nodes,pl_nodes,splits
0,1,1,randsat_1,0,least_constraining,641,633,16,65
1,1,1,randsat_2,0,least_constraining,21,52,10,30
2,1,1,randsat_3,0,least_constraining,2459,2338,46,149
3,1,1,randsat_4,0,least_constraining,249,287,7,29
4,1,1,randsat_5,0,least_constraining,11102,10334,180,661
5,1,1,randsat_6,0,least_constraining,43633,40758,504,2445
6,1,1,randsat_7,0,least_constraining,83,118,11,27
7,1,1,randsat_8,0,least_constraining,162,199,11,25
8,1,1,randsat_9,0,least_constraining,3171,3025,47,172
9,1,1,randsat_10,0,least_constraining,3258,2974,163,193
10,1,1,randsat_11,0,least_constraining,17881,16788,257,909
11,1,1,randsat_12,0,least_constraining,27908,25964,358,1659
12,1,1,randsat_13,0,least_constraining,3039,2891,34,183
13,1,1,randsat_14,0,least_constraining,0,32,20,22
14,1,1,randsat_15,0,least_constraining,11154,10299,280,648
15,1,1,randsat_16,0,least_constraining,27012,25400,198,1487
16,1,1,randsat_17,0,least_constraining,1386,1311,41,108
17,1,1,randsat_18,0,least_constraining,0,33,9,30
18,1,1,randsat_19,0,least_constraining,10320,9807,62,523
19,1,1,randsat_20,0,least_constraining,794,765,38,64
20,1,1,randsat_21,0,least_constraining,0,17,30,27
21,1,1,randsat_22,0,least_constraining,3,27,15,35
22,1,1,randsat_23,0,least_constraining,1862,1729,89,116
23,1,1,randsat_24,0,least_constraining,22475,21035,277,1238
24,1,1,randsat_25,0,least_constraining,169,181,20,43
25,1,1,randsat_26,0,least_constraining,15964,14922,288,828
26,1,1,randsat_27,0,least_constraining,10804,10090,163,625
27,1,1,randsat_28,0,least_constraining,5099,4751,143,278
28,1,1,randsat_29,0,least_constraining,3842,3647,66,204
29,1,1,randsat_30,0,least_constraining,416,418,24,48
30,1,1,randsat_31,0,least_constraining,1399,1368,16,87
31,1,1,randsat_32,0,least_constraining,9709,9124,142,516
32,1,1,randsat_33,0,least_constraining,0,44,9,21
33,1,1,randsat_34,0,least_constraining,1268,1221,29,91
34,1,1,randsat_35,0,least_constraining,0,20,20,32
35,1,1,randsat_36,0,least_constraining,11573,10901,122,620
36,1,1,randsat_37,0,least_constraining,16603,15598,211,867
37,1,1,randsat_38,0,least_constraining,9693,9065,104,597
38,1,1,randsat_39,0,least_constraining,3064,2892,64,182
39,1,1,randsat_40,0,least_constraining,6314,5984,77,325
40,1,1,randsat_41,0,least_constraining,0,40,8,24
41,1,1,randsat_42,0,least_constraining,0,30,21,22
42,1,1,randsat_43,0,least_constraining,913,871,33,84
43,1,1,randsat_44,0,least_constraining,7,42,10,30
44,1,1,randsat_45,0,least_constraining,7294,6852,112,405
45,1,1,randsat_46,0,least_constraining,5712,5453,54,277
46,1,1,randsat_47,0,least_constraining,4,30,23,26
47,1,1,randsat_48,0,least_constraining,885,836,51,71
48,1,1,randsat_49,0,least_constraining,14552,13652,236,736
49,1,1,randsat_50,0,least_constraining,784,765,23,70
50,1,1,1000sudokus_1,0,least_constraining,0,729,0,0
51,1,1,1000sudokus_2,0,least_constraining,3278,3901,0,106
52,1,1,1000sudokus_3,0,least_constraining,0,729,0,0
53,1,1,1000sudokus_4,0,least_constraining,0,729,0,0
54,1,1,1000sudokus_5,0,least_constraining,2655,3309,0,75
55,1,1,1000sudokus_6,0,least_constraining,0,729,0,0
56,1,1,1000sudokus_7,0,least_constraining,0,729,0,0
57,1,1,1000sudokus_8,0,least_constraining,0,729,0,0
58,1,1,1000sudokus_9,0,least_constraining,7003,7542,0,190
59,1,1,1000sudokus_10,0,least_constraining,53655,52825,0,1559
60,1,1,1000sudokus_11,0,least_constraining,0,729,0,0
61,1,1,1000sudokus_12,0,least_constraining,422,1124,0,27
62,1,1,1000sudokus_13,0,least_constraining,1265,1939,0,55
63,1,1,1000sudokus_14,0,least_constraining,0,703,0,26
64,1,1,1000sudokus_15,0,least_constraining,2889,3512,0,106
65,1,1,1000sudokus_16,0,least_constraining,0,729,0,0
66,1,1,1000sudokus_17,0,least_constraining,0,729,0,0
67,1,1,1000sudokus_18,0,least_constraining,0,729,0,0
68,1,1,1000sudokus_19,0,least_constraining,0,729,0,0
69,1,1,1000sudokus_20,0,least_constraining,0,729,0,0
70,1,1,1000sudokus_21,0,least_constraining,506,1214,0,21
71,1,1,1000sudokus_22,0,least_constraining,4919,5518,0,130
72,1,1,1000sudokus_23,0,least_constraining,0,729,0,0
73,1,1,1000sudokus_24,0,least_constraining,310,1016,0,23
74,1,1,1000sudokus_25,0,least_constraining,10660,11104,0,285
75,1,1,1000sudokus_26,0,least_constraining,885,1583,0,31
76,1,1,1000sudokus_27,0,least_constraining,2279,2907,0,101
77,1,1,1000sudokus_28,0,least_constraining,0,729,0,0
78,1,1,1000sudokus_29,0,least_constraining,0,729,0,0
79,1,1,1000sudokus_30,0,least_constraining,324,1031,0,22
80,1,1,1000sudokus_31,0,least_constraining,0,729,0,0
81,1,1,1000sudokus_32,0,least_constraining,835,1543,0,21
82,1,1,1000sudokus_33,0,least_constraining,0,729,0,0
83,1,1,1000sudokus_34,0,least_constraining,12318,12754,0,293
84,1,1,1000sudokus_35,0,least_constraining,49436,49065,0,1100
85,1,1,1000sudokus_36,0,least_constraining,58,780,0,7
86,1,1,1000sudokus_37,0,least_constraining,2734,3370,0,93
87,1,1,1000sudokus_38,0,least_constraining,0,729,0,0
88,1,1,1000sudokus_39,0,least_constraining,1204,1901,0,32
89,1,1,1000sudokus_40,0,least_constraining,81568,80041,0,2256
90,1,1,1000sudokus_41,0,least_constraining,0,729,0,0
91,1,1,1000sudokus_42,0,least_constraining,0,729,0,0
92,1,1,1000sudokus_43,0,least_constraining,1101,1793,0,37
93,1,1,1000sudokus_44,0,least_constraining,3574,4188,0,115
94,1,1,1000sudokus_45,0,least_constraining,7859,8316,0,272
95,1,1,1000sudokus_46,0,least_constraining,0,729,0,0
96,1,1,1000sudokus_47,0,least_constraining,0,729,0,0
97,1,1,1000sudokus_48,0,least_constraining,23833,24035,0,527
98,1,1,1000sudokus_49,0,least_constraining,2989,3615,0,103
99,1,1,1000sudokus_50,0,least_constraining,0,729,0,0
100,1,1,1000sudokus_51,0,least_constraining,0,729,0,0
101,1,1,1000sudokus_52,0,least_constraining,1001,1698,0,32
