,SAT,valid,dimacs_set,iteration,cmp_set,backtracks,uc_nodes,pl_nodes,splits
0,1,1,randsat_1,0,most_constraning,27387,25950,225,1283
1,1,1,randsat_2,0,most_constraning,4497,4221,106,244
2,1,1,randsat_3,0,most_constraning,83829,79433,578,3892
3,1,1,randsat_4,0,most_constraning,49191,46429,517,2317
4,1,1,randsat_5,0,most_constraning,61435,57810,638,3058
5,1,1,randsat_6,0,most_constraning,103627,97112,1394,5193
6,1,1,randsat_7,0,most_constraning,7038,6686,98,328
7,1,1,randsat_8,0,most_constraning,51266,48294,483,2559
8,1,1,randsat_9,0,most_constraning,198,237,15,17
9,1,1,randsat_10,0,most_constraning,4416,4119,127,241
10,1,1,randsat_11,0,most_constraning,114451,107167,1482,5875
11,1,1,randsat_12,0,most_constraning,75561,71241,890,3503
12,1,1,randsat_13,0,most_constraning,21957,20786,92,1152
13,1,1,randsat_14,0,most_constraning,6487,6142,85,333
14,1,1,randsat_15,0,most_constraning,1213,1213,18,57
15,1,1,randsat_16,0,most_constraning,70950,66788,446,3787
16,1,1,randsat_17,0,most_constraning,7441,7099,75,341
17,1,1,randsat_18,0,most_constraning,17067,16094,184,863
18,1,1,randsat_19,0,most_constraning,24435,23130,157,1221
19,1,1,randsat_20,0,most_constraning,40050,37763,366,1994
20,1,1,randsat_21,0,most_constraning,1306,1308,13,57
21,1,1,randsat_22,0,most_constraning,21579,20338,273,1043
22,1,1,randsat_23,0,most_constraning,332,375,8,21
23,1,1,randsat_24,0,most_constraning,7325,6925,96,377
24,1,1,randsat_25,0,most_constraning,5547,5247,45,328
25,1,1,randsat_26,0,most_constraning,6870,6495,101,349
26,1,1,randsat_27,0,most_constraning,63591,60017,556,3088
27,1,1,randsat_28,0,most_constraning,3761,3574,57,201
28,1,1,randsat_29,0,most_constraning,5445,5188,74,252
29,1,1,randsat_30,0,most_constraning,14,67,7,14
30,1,1,randsat_31,0,most_constraning,50928,48216,353,2431
31,1,1,randsat_32,0,most_constraning,5752,5481,74,268
32,1,1,randsat_33,0,most_constraning,3913,3737,40,211
33,1,1,randsat_34,0,most_constraning,26970,25251,395,1396
34,1,1,randsat_35,0,most_constraning,3719,3574,21,198
35,1,1,randsat_36,0,most_constraning,33525,31768,167,1661
36,1,1,randsat_37,0,most_constraning,147308,138642,1198,7541
37,1,1,randsat_38,0,most_constraning,3199,3069,36,166
38,1,1,randsat_39,0,most_constraning,4842,4626,49,240
39,1,1,randsat_40,0,most_constraning,42190,39575,550,2137
40,1,1,randsat_41,0,most_constraning,79437,75125,435,3951
41,1,1,randsat_42,0,most_constraning,1498,1431,46,91
42,1,1,randsat_43,0,most_constraning,3149,3016,47,158
43,1,1,randsat_44,0,most_constraning,27758,26365,120,1345
44,1,1,randsat_45,0,most_constraning,28416,27056,149,1283
45,1,1,randsat_46,0,most_constraning,76262,71775,679,3881
46,1,1,randsat_47,0,most_constraning,63,113,11,12
47,1,1,randsat_48,0,most_constraning,47039,44204,640,2270
48,1,1,randsat_49,0,most_constraning,69618,65273,1062,3356
49,1,1,randsat_50,0,most_constraning,9172,8634,139,469
50,1,1,1000sudokus_1,0,most_constraning,0,729,0,0
51,1,1,1000sudokus_2,0,most_constraning,0,726,0,3
52,1,1,1000sudokus_3,0,most_constraning,0,729,0,0
53,1,1,1000sudokus_4,0,most_constraning,0,729,0,0
54,1,1,1000sudokus_5,0,most_constraning,99,827,0,1
55,1,1,1000sudokus_6,0,most_constraning,0,729,0,0
56,1,1,1000sudokus_7,0,most_constraning,0,729,0,0
57,1,1,1000sudokus_8,0,most_constraning,0,729,0,0
58,1,1,1000sudokus_9,0,most_constraning,157,883,0,3
59,1,1,1000sudokus_10,0,most_constraning,505,1220,0,14
60,1,1,1000sudokus_11,0,most_constraning,0,729,0,0
61,1,1,1000sudokus_12,0,most_constraning,105,832,0,2
62,1,1,1000sudokus_13,0,most_constraning,0,728,0,1
63,1,1,1000sudokus_14,0,most_constraning,0,727,0,2
64,1,1,1000sudokus_15,0,most_constraning,83,809,0,3
65,1,1,1000sudokus_16,0,most_constraning,0,729,0,0
66,1,1,1000sudokus_17,0,most_constraning,0,729,0,0
67,1,1,1000sudokus_18,0,most_constraning,0,729,0,0
68,1,1,1000sudokus_19,0,most_constraning,0,729,0,0
69,1,1,1000sudokus_20,0,most_constraning,0,729,0,0
70,1,1,1000sudokus_21,0,most_constraning,150,873,0,6
71,1,1,1000sudokus_22,0,most_constraning,112,840,0,1
72,1,1,1000sudokus_23,0,most_constraning,0,729,0,0
73,1,1,1000sudokus_24,0,most_constraning,0,728,0,1
74,1,1,1000sudokus_25,0,most_constraning,0,727,0,2
75,1,1,1000sudokus_26,0,most_constraning,16,743,0,2
76,1,1,1000sudokus_27,0,most_constraning,432,1152,0,9
77,1,1,1000sudokus_28,0,most_constraning,0,729,0,0
78,1,1,1000sudokus_29,0,most_constraning,0,729,0,0
79,1,1,1000sudokus_30,0,most_constraning,30,757,0,2
80,1,1,1000sudokus_31,0,most_constraning,0,729,0,0
81,1,1,1000sudokus_32,0,most_constraning,97,824,0,2
82,1,1,1000sudokus_33,0,most_constraning,0,729,0,0
83,1,1,1000sudokus_34,0,most_constraning,214,941,0,2
84,1,1,1000sudokus_35,0,most_constraning,759,1479,0,9
85,1,1,1000sudokus_36,0,most_constraning,0,728,0,1
86,1,1,1000sudokus_37,0,most_constraning,38,765,0,2
87,1,1,1000sudokus_38,0,most_constraning,0,729,0,0
88,1,1,1000sudokus_39,0,most_constraning,0,727,0,2
89,1,1,1000sudokus_40,0,most_constraning,0,728,0,1
90,1,1,1000sudokus_41,0,most_constraning,0,729,0,0
91,1,1,1000sudokus_42,0,most_constraning,0,729,0,0
92,1,1,1000sudokus_43,0,most_constraning,0,728,0,1
93,1,1,1000sudokus_44,0,most_constraning,0,727,0,2
94,1,1,1000sudokus_45,0,most_constraning,0,728,0,1
95,1,1,1000sudokus_46,0,most_constraning,0,729,0,0
96,1,1,1000sudokus_47,0,most_constraning,0,729,0,0
97,1,1,1000sudokus_48,0,most_constraning,264,990,0,3
98,1,1,1000sudokus_49,0,most_constraning,131,856,0,4
99,1,1,1000sudokus_50,0,most_constraning,0,729,0,0
100,1,1,1000sudokus_51,0,most_constraning,0,729,0,0
101,1,1,1000sudokus_52,0,most_constraning,0,728,0,1
102,1,1,1000sudokus_53,0,most_constraning,0,729,0,0
103,1,1,1000sudokus_54,0,most_constraning,111,837,0,3
104,1,1,1000sudokus_55,0,most_constraning,305,1029,0,5
105,1,1,1000sudokus_56,0,most_constraning,0,729,0,0
106,1,1,1000sudokus_57,0,most_constraning,0,729,0,0
107,1,1,1000sudokus_58,0,most_constraning,17,744,0,2
108,1,1,1000sudokus_59,0,most_constraning,81,807,0,3
109,1,1,1000sudokus_60,0,most_constraning,90,817,0,2
110,1,1,1000sudokus_61,0,most_constraning,0,729,0,0
111,1,1,1000sudokus_62,0,most_constraning,73,800,0,2
112,1,1,1000sudokus_63,0,most_constraning,0,729,0,0
113,1,1,1000sudokus_64,0,most_constraning,0,729,0,0
114,1,1,1000sudokus_65,0,most_constraning,139,866,0,2
115,1,1,1000sudokus_66,0,most_constraning,0,729,0,0
116,1,1,1000sudokus_67,0,most_constraning,220,944,0,5
117,1,1,1000sudokus_68,0,most_constraning,0,729,0,0
118,1,1,1000sudokus_69,0,most_constraning,0,729,0,0
