,SAT,valid,dimacs_set,iteration,cmp_set,backtracks,uc_nodes,pl_nodes,most_constraining_nodes,jwnodes
0,1,1,randsat_1,0,0.0,21435,20104,200,1151,51
1,1,1,randsat_2,0,0.0,3711,3464,100,202,19
2,1,1,randsat_3,0,0.0,66797,62609,554,3602,106
3,1,1,randsat_4,0,0.0,39534,36851,518,2173,64
4,1,1,randsat_5,0,0.0,45063,42040,542,2407,145
5,1,1,randsat_6,0,0.0,73526,68230,1184,3931,253
6,1,1,randsat_7,0,0.0,6103,5752,98,320,7
7,1,1,randsat_8,0,0.0,38534,35955,461,2124,65
8,1,1,randsat_9,0,0.0,136,177,14,13,2
9,1,1,randsat_10,0,0.0,4087,3796,125,232,5
10,1,1,randsat_11,0,0.0,74349,68794,1142,4094,393
11,1,1,randsat_12,0,0.0,61457,57268,870,3287,105
12,1,1,randsat_13,0,0.0,16614,15572,76,1011,28
13,1,1,randsat_14,0,0.0,4005,3763,62,224,28
14,1,1,randsat_15,0,0.0,993,992,18,56,2
15,1,1,randsat_16,0,0.0,53093,49684,369,2974,138
16,1,1,randsat_17,0,0.0,6639,6308,68,328,9
17,1,1,randsat_18,0,0.0,12310,11506,164,671,42
18,1,1,randsat_19,0,0.0,20034,18797,150,1141,19
19,1,1,randsat_20,0,0.0,34041,31782,384,1874,74
20,1,1,randsat_21,0,0.0,3002,2850,47,172,7
21,1,1,randsat_22,0,0.0,16630,15496,252,917,40
22,1,1,randsat_23,0,0.0,305,348,8,19,2
23,1,1,randsat_24,0,0.0,6354,5957,105,356,9
24,1,1,randsat_25,0,0.0,3373,3206,36,185,20
25,1,1,randsat_26,0,0.0,5221,4913,71,294,18
26,1,1,randsat_27,0,0.0,31139,29039,326,1678,166
27,1,1,randsat_28,0,0.0,2949,2796,49,161,14
28,1,1,randsat_29,0,0.0,4194,3952,73,230,8
29,1,1,randsat_30,0,0.0,10,63,7,14,0
30,1,1,randsat_31,0,0.0,29609,27837,218,1497,128
31,1,1,randsat_32,0,0.0,4482,4219,75,248,11
32,1,1,randsat_33,0,0.0,1796,1728,26,95,21
33,1,1,randsat_34,0,0.0,20919,19442,321,1142,87
34,1,1,randsat_35,0,0.0,3020,2873,22,194,5
35,1,1,randsat_36,0,0.0,25526,23973,155,1405,64
36,1,1,randsat_37,0,0.0,102851,95643,1087,5787,407
37,1,1,randsat_38,0,0.0,2638,2512,35,161,2
38,1,1,randsat_39,0,0.0,4039,3839,45,218,10
39,1,1,randsat_40,0,0.0,29262,27179,449,1635,71
40,1,1,randsat_41,0,0.0,60419,56464,398,3541,90
41,1,1,randsat_42,0,0.0,1271,1204,47,91,0
42,1,1,randsat_43,0,0.0,2676,2543,47,157,1
43,1,1,randsat_44,0,0.0,22795,21438,128,1266,36
44,1,1,randsat_45,0,0.0,23006,21692,147,1216,23
45,1,1,randsat_46,0,0.0,50829,47385,498,2812,207
46,1,1,randsat_47,0,0.0,47,97,11,12,0
47,1,1,randsat_48,0,0.0,39051,36400,602,1992,131
48,1,1,randsat_49,0,0.0,48198,44508,922,2674,167
49,1,1,1000sudokus_0,0,0.0,0,728,0,1,0
50,1,1,1000sudokus_1,0,0.0,0,729,0,0,0
51,1,1,1000sudokus_2,0,0.0,30,750,0,3,6
52,1,1,1000sudokus_3,0,0.0,0,729,0,0,0
53,1,1,1000sudokus_4,0,0.0,0,729,0,0,0
54,1,1,1000sudokus_5,0,0.0,60,788,0,1,0
55,1,1,1000sudokus_6,0,0.0,0,729,0,0,0
56,1,1,1000sudokus_7,0,0.0,0,729,0,0,0
57,1,1,1000sudokus_8,0,0.0,0,729,0,0,0
58,1,1,1000sudokus_9,0,0.0,134,860,0,3,0
59,1,1,1000sudokus_10,0,0.0,16772,17155,0,68,278
60,1,1,1000sudokus_11,0,0.0,0,729,0,0,0
61,1,1,1000sudokus_12,0,0.0,106,833,0,2,0
62,1,1,1000sudokus_13,0,0.0,0,728,0,1,0
63,1,1,1000sudokus_14,0,0.0,32,755,0,2,4
64,1,1,1000sudokus_15,0,0.0,1249,1935,0,7,36
65,1,1,1000sudokus_16,0,0.0,0,729,0,0,0
66,1,1,1000sudokus_17,0,0.0,0,729,0,0,0
67,1,1,1000sudokus_18,0,0.0,0,729,0,0,0
68,1,1,1000sudokus_19,0,0.0,0,729,0,0,0
69,1,1,1000sudokus_20,0,0.0,0,729,0,0,0
70,1,1,1000sudokus_21,0,0.0,163,886,0,6,0
71,1,1,1000sudokus_22,0,0.0,112,840,0,1,0
72,1,1,1000sudokus_23,0,0.0,0,729,0,0,0
73,1,1,1000sudokus_24,0,0.0,0,728,0,1,0
74,1,1,1000sudokus_25,0,0.0,1096,1797,0,10,18
75,1,1,1000sudokus_26,0,0.0,9,736,0,2,0
76,1,1,1000sudokus_27,0,0.0,438,1149,0,2,16
77,1,1,1000sudokus_28,0,0.0,0,729,0,0,0
78,1,1,1000sudokus_29,0,0.0,0,729,0,0,0
79,1,1,1000sudokus_30,0,0.0,47,774,0,2,0
80,1,1,1000sudokus_31,0,0.0,0,729,0,0,0
81,1,1,1000sudokus_32,0,0.0,124,851,0,2,0
82,1,1,1000sudokus_33,0,0.0,0,729,0,0,0
83,1,1,1000sudokus_34,0,0.0,101,828,0,2,0
84,1,1,1000sudokus_35,0,0.0,16478,16864,0,33,310
85,1,1,1000sudokus_36,0,0.0,0,728,0,1,0
86,1,1,1000sudokus_37,0,0.0,667,1373,0,5,18
87,1,1,1000sudokus_38,0,0.0,0,729,0,0,0
88,1,1,1000sudokus_39,0,0.0,0,727,0,2,0
89,1,1,1000sudokus_40,0,0.0,24743,25022,0,93,357
90,1,1,1000sudokus_41,0,0.0,0,729,0,0,0
91,1,1,1000sudokus_42,0,0.0,0,729,0,0,0
92,1,1,1000sudokus_43,0,0.0,0,728,0,1,0
93,1,1,1000sudokus_44,0,0.0,0,727,0,2,0
94,1,1,1000sudokus_45,0,0.0,3613,4240,0,11,91
95,1,1,1000sudokus_46,0,0.0,0,729,0,0,0
96,1,1,1000sudokus_47,0,0.0,0,729,0,0,0
97,1,1,1000sudokus_48,0,0.0,2014,2722,0,7,14
98,1,1,1000sudokus_49,0,0.0,320,1037,0,4,8
99,1,1,damnhard_0,0,0.0,129872,126750,0,427,3424
100,1,1,damnhard_1,0,0.0,16159,16474,0,52,362
101,1,1,damnhard_2,0,0.0,157901,154221,0,438,3971
102,1,1,damnhard_3,0,0.0,123471,120683,0,305,3212
103,1,1,damnhard_4,0,0.0,400514,391951,0,681,8611
104,1,1,damnhard_5,0,0.0,1558,2165,0,5,117
105,1,1,damnhard_6,0,0.0,270021,263020,0,565,7165
106,1,1,damnhard_7,0,0.0,458369,446942,0,1205,10951
107,1,1,damnhard_8,0,0.0,442805,429580,0,828,13126
108,1,1,damnhard_9,0,0.0,60401,59415,0,121,1594
109,1,1,randsat_1,0,0.1,21266,19941,199,1146,50
110,1,1,randsat_2,0,0.1,3617,3370,100,202,19
111,1,1,randsat_3,0,0.1,66805,62617,554,3602,106
112,1,1,randsat_4,0,0.1,39645,36962,518,2173,64
113,1,1,randsat_5,0,0.1,45199,42176,542,2407,145
114,1,1,randsat_6,0,0.1,73834,68538,1184,3931,253
115,1,1,randsat_7,0,0.1,6075,5724,98,320,7
116,1,1,randsat_8,0,0.1,38101,35522,460,2124,65
117,1,1,randsat_9,0,0.1,146,187,16,13,2
118,1,1,randsat_10,0,0.1,4135,3844,125,232,5
119,1,1,randsat_11,0,0.1,74592,69037,1142,4094,393
120,1,1,randsat_12,0,0.1,61332,57143,870,3287,105
121,1,1,randsat_13,0,0.1,16572,15530,76,1011,28
122,1,1,randsat_14,0,0.1,4088,3847,62,224,28
123,1,1,randsat_15,0,0.1,1021,1020,18,56,2
124,1,1,randsat_16,0,0.1,52846,49437,369,2974,138
125,1,1,randsat_17,0,0.1,6524,6192,69,328,9
126,1,1,randsat_18,0,0.1,12025,11221,165,671,42
127,1,1,randsat_19,0,0.1,20267,19030,150,1141,19
128,1,1,randsat_20,0,0.1,34011,31752,384,1874,74
129,1,1,randsat_21,0,0.1,3061,2909,47,172,7
130,1,1,randsat_22,0,0.1,16566,15432,252,917,40
131,1,1,randsat_23,0,0.1,341,384,8,19,2
132,1,1,randsat_24,0,0.1,6426,6029,105,356,9
133,1,1,randsat_25,0,0.1,3330,3163,36,185,20
134,1,1,randsat_26,0,0.1,5280,4972,71,294,18
135,1,1,randsat_27,0,0.1,30977,28877,326,1678,166
136,1,1,randsat_28,0,0.1,2849,2696,49,161,14
137,1,1,randsat_29,0,0.1,4271,4029,73,230,8
138,1,1,randsat_30,0,0.1,7,60,7,14,0
139,1,1,randsat_31,0,0.1,29736,27964,218,1497,128
140,1,1,randsat_32,0,0.1,4502,4239,75,248,11
141,1,1,randsat_33,0,0.1,1776,1708,26,95,21
